TransactionID,TransactionAmt,FraudProbability,RiskTier,TrueLabel,HourOfDay,DeviceType
3421162,459.99,0.03034129730852858,Clear,0,23,0
3569501,57.95,0.017503290065254324,Clear,0,0,0
3206675,159.95,0.05849747743814725,Clear,0,18,0
3059352,100.0,0.009239401431393665,Clear,0,17,0
3308982,92.0,0.030472033618825757,Clear,0,16,0
3573035,31.95,0.012021014350861652,Clear,0,14,0
3114175,61.883,0.027410684317168595,Clear,0,3,0
3080421,25.0,0.037533022658619235,Clear,0,11,0
3419545,59.0,0.023338051428565036,Clear,0,15,0
3072203,117.0,0.022553397136251964,Clear,0,21,0
3501448,15.616,0.09344771690479958,Clear,0,20,1
3525683,614.0,0.07963498123837313,Clear,0,12,0
3012887,317.5,0.023175495313802308,Clear,0,17,0
3509384,59.0,0.025723658667524144,Clear,0,20,0
3069373,100.0,0.05695965349255507,Clear,0,14,0
3383156,200.0,0.09972114177901979,Clear,0,11,0
3022030,117.0,0.05125508047979937,Clear,0,22,0
3040446,59.0,0.010905799247404176,Clear,0,15,0
3476246,150.0,0.04838306119753474,Clear,0,16,0
3069753,50.0,0.01119438032103623,Clear,0,15,0
3342714,141.0,0.019600840946949128,Clear,0,21,0
3572069,39.0,0.013856023611550593,Clear,0,0,0
3387374,141.0,0.027211398471815567,Clear,0,20,0
3575384,280.0,0.05145943101230323,Clear,0,9,0
3420937,49.0,0.15888190745656977,Clear,0,22,0
3112485,150.0,0.109344181062753,Clear,0,19,0
3383145,35.95,0.02680062620508108,Clear,0,10,0
3011424,50.0,0.016881564827168086,Clear,0,2,0
3437082,49.0,0.009048117816589422,Clear,0,20,0
3156946,97.95,0.040723383154367965,Clear,0,8,0
3172374,54.5,0.05745140884391971,Clear,0,18,0
3551032,55.332,0.2782410305549583,Clear,0,22,0
3342461,100.0,0.1819321895452067,Clear,0,20,0
3196517,49.0,0.02681332461886023,Clear,0,23,0
3521537,15.985,0.20187032023771645,Clear,0,21,1
3322747,57.95,0.012687841202444008,Clear,0,17,0
3120186,204.0,0.05418593256633818,Clear,0,19,0
3146108,59.0,0.08376861528739386,Clear,0,17,0
3140491,34.0,0.03905433703158554,Clear,0,19,0
3446646,5.99,0.015562701314160673,Clear,0,15,0
3425510,57.95,0.04324077540272133,Clear,0,15,0
3351324,548.0,0.01291829615565981,Clear,0,18,0
3523990,222.0,0.024727189207290907,Clear,0,19,0
3398173,458.92,0.043921186158659295,Clear,0,4,0
3092505,68.37,0.010212401117420751,Clear,0,3,0
3343686,211.0,0.05279735650770974,Clear,0,1,0
3187491,1044.95,0.008404136913701088,Clear,0,20,0
3409024,113.95,0.03588558668044324,Clear,0,17,0
3223338,171.0,0.01672858853027942,Clear,0,17,0
3172371,59.0,0.012749810544843927,Clear,0,18,0
3150580,49.0,0.033329819705947276,Clear,0,0,0
3331839,117.0,0.014377483554546714,Clear,0,13,0
3312546,774.0,0.02553443696587955,Clear,0,21,0
3514952,49.0,0.02122603847405395,Clear,0,18,0
3524817,49.061,0.15063990672719568,Clear,0,23,1
3040494,107.95,0.012300793250976485,Clear,0,15,0
3548423,47.95,0.007368098725192222,Clear,0,0,0
3165482,226.0,0.024033870249583235,Clear,0,23,0
3574753,53.97,0.009825097987143702,Clear,0,23,0
3382254,335.0,0.041674305217603735,Clear,0,22,0
3294244,117.0,0.10311761776984495,Clear,0,10,0
3315892,303.95,0.020488099737012343,Clear,0,18,0
3255151,49.0,0.021846573558081044,Clear,0,1,0
3221952,43.382,0.37050791653297943,Clear,0,8,0
3064636,200.0,0.19869072388485245,Clear,0,16,0
3300038,155.279,0.03277344633274274,Clear,0,2,0
3453193,330.0,0.025993084172372657,Clear,0,21,0
3559965,10.0,0.20228287311956036,Clear,0,1,0
3327226,59.0,0.04868844853815414,Clear,0,22,0
3338871,2770.95,0.05299381586724361,Clear,0,15,0
3050978,39.0,0.0881968652764409,Clear,0,19,0
3309376,552.0,0.04129954129885849,Clear,0,16,0
3403961,80.0,0.048061034012210645,Clear,0,20,0
3390422,260.0,0.026462883965412385,Clear,0,20,0
3301538,404.2,0.05276877956983372,Clear,0,17,0
3186875,100.0,0.0981248758347727,Clear,0,16,0
3409987,49.307,0.5148170784373225,Suspicious,0,21,0
3555042,100.0,0.050079798486013516,Clear,0,11,0
3443208,57.95,0.01280002476715163,Clear,0,23,0
3347652,47.95,0.013465481492446212,Clear,0,15,0
3498799,100.0,0.01912391935098584,Clear,0,23,0
3091000,191.0,0.01916649938039373,Clear,0,22,0
3256400,59.0,0.015310901507635135,Clear,0,16,0
3060635,100.0,0.014390744617990166,Clear,0,20,0
3144853,100.0,0.025897513827519873,Clear,0,0,1
